PostingID,drug_cui
383,C1948374
384,C1948374
384,C2935023
385,C1948374
385,C2935023
386,C1948374
386,C2935023
387,C1948374
388,C1948374
388,C2935023
3884,C0073992
3884,C0117996
3889,C0879399
389,C1948374
389,C2935023
3896,C2983812
39,C0117996
390,C1948374
390,C2935023
391,C1948374
391,C2935023
392,C1948374
392,C2935023
3920,C0754659
3923,C0025598
3936,C2607479
3937,C0085208
3938,C0085208
394,C0117996
3942,C0064636
3943,C0064636
3944,C0025598
3945,C0246631
3947,C0879399
3948,C3709474
3949,C3709474
3950,C3709474
3951,C3709474
3952,C3709474
3953,C3179547
3955,C3179547
3956,C3179547
3957,C3179547
396,C1948374
396,C2935023
3969,C0754659
397,C0073992
397,C0117996
3970,C0754659
3971,C1948374
3972,C0064870
3972,C1948374
3973,C0064870
3973,C1948374
3977,C0969324
3979,C2717174
398,C0073992
398,C0117996
3980,C2935023
3981,C2935023
3982,C2935023
3983,C2935023
3984,C2935023
3985,C2935023
3986,C2935023
3987,C2935023
3988,C2935023
3989,C2935023
399,C0073992
399,C0117996
3990,C2935023
3991,C2935023
3992,C2935023
3993,C2935023
3994,C0216660
3995,C0216660
3996,C0216660
3997,C0216660
3998,C0216660
4,C0065767
40,C0073992
40,C0117996
400,C0073992
400,C0117996
4005,C0014025
4005,C0051696
4006,C0051696
4006,C0965129
4007,C1723401
4009,C0754659
401,C0073992
401,C0117996
4015,C2717174
4016,C1703334
4017,C0001927
4018,C2935023
402,C0073992
402,C0117996
403,C0073992
403,C0117996
4033,C4018470
4034,C4018470
4035,C1509436
404,C0073992
404,C0117996
4040,C0673966
4041,C0673966
4042,C0673966
4044,C0541315
4045,C1722260
4046,C1722260
4047,C1721377
4048,C3814772
405,C0073992
405,C0117996
4050,C0966225
4051,C0966225
4053,C0069751
4054,C0069751
406,C0073992
406,C0117996
4061,C0216784
4061,C4033447
4062,C0216784
4062,C4033447
4068,C3179547
4069,C3179547
407,C0073992
407,C0117996
4070,C3179547
4071,C3179547
4074,C0937916
408,C0073992
408,C0117996
4082,C0216784
4083,C0051696
4084,C1699926
4085,C1699926
4086,C0649350
4087,C0216784
4089,C1699926
409,C0073992
409,C0117996
4095,C1998098
41,C0073992
41,C0117996
410,C0073992
410,C0117996
4107,C0007538
4108,C1948374
4109,C1948374
4109,C2935023
411,C0073992
411,C0117996
4110,C1948374
4110,C2935023
4111,C0073992
4111,C0117996
4114,C0969324
4115,C3709474
4116,C3709474
4118,C0673966
412,C0073992
412,C0117996
4120,C3818721
4121,C3818721
4123,C3467876
4124,C3467876
413,C0073992
413,C0117996
4131,C1831905
4137,C0541315
4138,C0541315
4139,C0541315
414,C0073992
414,C0117996
4140,C0541315
4141,C0541315
415,C0073992
415,C0117996
4151,C1506770
4154,C1506770
4155,C1506770
416,C0073992
416,C0117996
4163,C1831796
4164,C1831796
4165,C1831796
417,C0073992
417,C0117996
4178,C1831796
4179,C0649350
418,C0073992
418,C0117996
4180,C0649350
4183,C3179547
4184,C3179547
4187,C2697961
4189,C0257685
419,C0073992
419,C0117996
